OrderDate,StockDate,OrderNumber,ProductKey,CustomerKey,TerritoryKey,OrderLineItem,OrderQuantity
2018-01-01,2016-09-28,SO61280-2018,214,12010,4,1,3
2018-01-01,2016-11-26,SO61309-2018,354,14307,9,1,6
2018-01-01,2016-11-01,SO61309-2018,483,13762,9,2,4
2018-01-01,2016-09-27,SO61302-2018,477,14921,4,2,6
2018-01-01,2016-11-29,SO61302-2018,478,14776,4,3,7
2018-01-01,2016-11-28,SO61302-2018,362,14921,4,1,5
2018-01-01,2016-11-09,SO61277-2018,223,15201,8,3,7
2018-01-01,2016-10-19,SO61277-2018,490,15201,8,2,2
2018-01-01,2016-11-03,SO61277-2018,594,15351,8,1,2
2018-01-01,2016-12-05,SO61299-2018,528,12908,4,2,6
2018-01-01,2016-09-12,SO61299-2018,537,13032,4,1,3
2018-01-01,2016-12-06,SO61297-2018,541,13259,10,1,7
2018-01-01,2016-11-30,SO61297-2018,477,13259,10,4,4
2018-01-01,2016-09-06,SO61297-2018,479,13259,10,3,6
2018-01-01,2016-12-14,SO61297-2018,530,13006,10,2,7
2018-01-01,2016-11-30,SO61297-2018,489,13006,10,5,3
2018-01-01,2016-09-28,SO61306-2018,477,23900,9,3,4
2018-01-01,2016-09-23,SO61306-2018,479,24603,9,2,4
2018-01-01,2016-09-12,SO61306-2018,580,23900,9,1,2
2018-01-01,2016-09-19,SO61275-2018,220,14416,9,1,5
2018-01-01,2016-11-14,SO61282-2018,480,11420,4,1,4
2018-01-01,2016-10-13,SO61308-2018,477,21259,9,2,5
2018-01-01,2016-10-07,SO61308-2018,479,20651,9,3,4
2018-01-01,2016-10-25,SO61308-2018,371,20449,9,1,5
2018-01-01,2016-09-20,SO61300-2018,477,13823,4,3,4
2018-01-01,2016-10-10,SO61300-2018,478,13691,4,2,6
2018-01-01,2016-11-24,SO61300-2018,485,13823,4,1,6
2018-01-01,2016-10-10,SO61300-2018,471,13296,4,4,2
2018-01-01,2016-11-04,SO61293-2018,477,18807,1,1,6
2018-01-01,2016-09-19,SO61293-2018,220,18988,1,2,6
2018-01-01,2016-10-08,SO61293-2018,232,18445,1,3,2
2018-01-01,2016-12-15,SO61311-2018,479,23365,7,2,3
2018-01-01,2016-09-03,SO61311-2018,606,23590,7,1,4
2018-01-01,2016-09-24,SO61292-2018,477,22233,4,2,7
2018-01-01,2016-10-17,SO61292-2018,478,23113,4,1,7
2018-01-01,2016-11-04,SO61287-2018,477,16391,6,2,7
2018-01-01,2016-10-15,SO61287-2018,478,16391,6,1,3
2018-01-01,2016-10-27,SO61287-2018,489,15918,6,3,3
2018-01-01,2016-12-01,SO61296-2018,485,15746,8,1,6
2018-01-01,2016-09-13,SO61312-2018,566,29664,9,1,4
2018-01-01,2016-09-28,SO61273-2018,477,23665,9,1,7
2018-01-01,2016-11-24,SO61304-2018,477,12723,10,2,5
2018-01-01,2016-11-28,SO61304-2018,479,12598,10,3,7
2018-01-01,2016-10-03,SO61304-2018,214,12848,10,4,2
2018-01-01,2016-11-16,SO61304-2018,560,12972,10,1,4
2018-01-01,2016-11-24,SO61281-2018,539,29673,1,1,7
2018-01-01,2016-11-05,SO61303-2018,220,14011,10,2,2
2018-01-01,2016-12-17,SO61303-2018,563,13739,10,1,4
2018-01-02,2016-11-10,SO61367-2018,477,11210,9,2,7
2018-01-02,2016-09-08,SO61367-2018,479,11543,9,3,4
2018-01-02,2016-11-08,SO61367-2018,489,11210,9,4,4
2018-01-02,2016-09-16,SO61367-2018,575,11654,9,1,3
2018-01-02,2016-11-08,SO61315-2018,223,15752,9,5,5
2018-01-02,2016-10-09,SO61315-2018,529,15904,9,2,6
2018-01-02,2016-12-07,SO61315-2018,220,15752,9,3,6
2018-01-02,2016-09-05,SO61315-2018,490,15601,9,4,3
2018-01-02,2016-09-19,SO61315-2018,539,15449,9,1,2
2018-01-02,2016-10-09,SO61349-2018,541,13192,10,1,4
2018-01-02,2016-10-11,SO61349-2018,215,12815,10,3,3
2018-01-02,2016-10-03,SO61349-2018,530,12815,10,2,2
2018-01-02,2016-11-09,SO61355-2018,226,12815,10,1,4
2018-01-02,2016-12-09,SO61370-2018,214,11579,9,2,3
2018-01-02,2016-11-13,SO61370-2018,561,11694,9,1,6
2018-01-02,2016-11-10,SO61332-2018,528,26227,4,2,7
2018-01-02,2016-09-08,SO61332-2018,535,26747,4,1,3
2018-01-02,2016-11-23,SO61351-2018,485,11650,4,2,3
2018-01-02,2016-09-15,SO61351-2018,214,11762,4,3,5
2018-01-02,2016-09-15,SO61351-2018,537,11538,4,1,3
2018-01-02,2016-10-11,SO61365-2018,214,21511,4,2,4
2018-01-02,2016-11-10,SO61365-2018,582,20890,4,1,2
2018-01-02,2016-11-25,SO61320-2018,477,30101,9,2,3
2018-01-02,2016-11-01,SO61320-2018,478,29522,9,1,5
2018-01-02,2016-10-29,SO61320-2018,214,30391,9,3,6
2018-01-02,2016-09-13,SO61362-2018,480,14058,9,2,5
2018-01-02,2016-09-28,SO61362-2018,358,13921,9,1,4
2018-01-02,2016-09-27,SO61342-2018,528,12997,8,1,8
2018-01-02,2016-09-08,SO61342-2018,480,12997,8,3,5
2018-01-02,2016-10-19,SO61342-2018,537,12747,8,2,3
2018-01-02,2016-11-24,SO61358-2018,485,14890,1,2,6
2018-01-02,2016-11-23,SO61358-2018,354,14746,1,1,6
2018-01-02,2016-09-14,SO61358-2018,472,14601,1,3,4
2018-01-02,2016-10-22,SO61369-2018,565,29957,9,1,3
2018-01-02,2016-10-21,SO61319-2018,529,20465,9,1,7
2018-01-02,2016-09-07,SO61319-2018,480,20870,9,3,5
2018-01-02,2016-12-09,SO61319-2018,538,21276,9,2,5
2018-01-02,2016-09-10,SO61364-2018,223,25919,4,2,7
2018-01-02,2016-12-05,SO61364-2018,562,24931,4,1,5
2018-01-02,2016-09-26,SO61359-2018,354,14709,1,1,4
2018-01-02,2016-10-07,SO61343-2018,464,22899,10,1,5
2018-01-02,2016-12-09,SO61343-2018,477,23126,10,2,5
2018-01-02,2016-11-15,SO61333-2018,536,11646,6,2,4
2018-01-02,2016-10-12,SO61333-2018,528,11202,6,1,4
2018-01-02,2016-09-12,SO61316-2018,536,22247,9,1,7
2018-01-02,2016-12-07,SO61316-2018,480,21611,9,2,4
2018-01-02,2016-10-19,SO61313-2018,223,11542,8,2,7
2018-01-02,2016-12-05,SO61313-2018,220,11542,8,3,2
2018-01-02,2016-10-28,SO61313-2018,583,11885,8,1,4
2018-01-02,2016-10-09,SO61328-2018,490,11801,1,1,5
2018-01-02,2016-10-06,SO61330-2018,529,25126,4,2,5
2018-01-02,2016-11-19,SO61330-2018,540,25126,4,1,3
2018-01-02,2016-11-17,SO61339-2018,485,14842,4,1,6
2018-01-02,2016-10-07,SO61339-2018,472,14842,4,2,4
2018-01-02,2016-10-02,SO61352-2018,537,12742,4,1,3
2018-01-02,2016-10-16,SO61366-2018,477,14753,7,2,7
2018-01-02,2016-12-09,SO61366-2018,479,14327,7,3,6
2018-01-02,2016-09-05,SO61366-2018,487,14753,7,4,2
2018-01-02,2016-11-24,SO61366-2018,564,14327,7,1,3
2018-01-02,2016-10-19,SO61340-2018,478,14012,4,2,5
2018-01-02,2016-12-17,SO61340-2018,485,14287,4,1,6
2018-01-02,2016-09-04,SO61340-2018,477,13875,4,3,5
2018-01-02,2016-10-02,SO61340-2018,480,14287,4,4,7
2018-01-02,2016-10-09,SO61324-2018,220,26209,8,2,6
2018-01-02,2016-11-29,SO61324-2018,580,26718,8,1,4
2018-01-02,2016-09-07,SO61345-2018,528,20740,8,2,7
2018-01-02,2016-11-13,SO61345-2018,214,20941,8,3,4
2018-01-02,2016-12-06,SO61345-2018,536,21142,8,1,2
2018-01-02,2016-12-01,SO61325-2018,466,22334,10,3,4
2018-01-02,2016-11-15,SO61325-2018,488,22117,10,2,4
2018-01-02,2016-12-05,SO61325-2018,583,22334,10,1,5
2018-01-02,2016-11-23,SO61335-2018,476,20659,1,1,5
2018-01-02,2016-11-13,SO61347-2018,462,22035,8,2,4
2018-01-02,2016-11-05,SO61347-2018,477,22689,8,1,4
2018-01-02,2016-11-28,SO61347-2018,490,22253,8,3,6
2018-01-02,2016-11-06,SO61323-2018,220,18205,8,2,6
2018-01-02,2016-11-08,SO61323-2018,580,18027,8,1,2
2018-01-02,2016-10-01,SO61331-2018,480,11826,6,3,3
2018-01-02,2016-09-23,SO61331-2018,529,11488,6,2,5
2018-01-02,2016-11-16,SO61331-2018,540,11713,6,1,5
2018-01-02,2016-09-16,SO61334-2018,480,22462,4,2,3
2018-01-02,2016-12-18,SO61334-2018,536,22462,4,1,3
2018-01-02,2016-10-28,SO61329-2018,541,27336,4,1,8
2018-01-02,2016-11-01,SO61329-2018,530,27877,4,2,6
2018-01-02,2016-09-06,SO61329-2018,214,28148,4,3,5
2018-01-02,2016-12-11,SO61348-2018,530,24637,7,2,7
2018-01-02,2016-11-06,SO61348-2018,462,24159,7,3,7
2018-01-02,2016-10-10,SO61348-2018,541,24637,7,1,6
2018-01-02,2016-10-21,SO61363-2018,477,29786,4,2,3
2018-01-02,2016-09-06,SO61363-2018,479,30662,4,3,7
2018-01-02,2016-09-30,SO61363-2018,570,29494,4,1,6
2018-01-02,2016-10-02,SO61344-2018,528,17995,7,1,6
2018-01-02,2016-09-05,SO61344-2018,536,18173,7,2,4
2018-01-02,2016-09-11,SO61344-2018,480,18529,7,3,6
2018-01-02,2016-10-24,SO61368-2018,220,12143,9,2,6
2018-01-02,2016-12-12,SO61368-2018,576,12262,9,1,2
2018-01-02,2016-09-15,SO61371-2018,606,28066,9,1,3
2018-01-02,2016-09-23,SO61357-2018,536,14873,1,2,8
2018-01-02,2016-09-04,SO61357-2018,462,14873,1,5,6
2018-01-02,2016-10-28,SO61357-2018,528,15019,1,3,7
2018-01-02,2016-11-21,SO61357-2018,215,15165,1,4,5
2018-01-02,2016-11-17,SO61357-2018,587,14873,1,1,4
2018-01-02,2016-11-14,SO61326-2018,484,16751,8,2,7
2018-01-02,2016-11-27,SO61326-2018,377,17079,8,1,5
2018-01-02,2016-09-08,SO61356-2018,590,14872,4,1,2
2018-01-02,2016-11-27,SO61354-2018,223,12990,10,1,4
2018-01-02,2016-09-16,SO61353-2018,485,17386,6,1,3
2018-01-02,2016-09-09,SO61353-2018,214,17052,6,2,4
2018-01-02,2016-09-11,SO61353-2018,471,17219,6,3,2
2018-01-02,2016-09-13,SO61338-2018,528,17389,4,1,7
2018-01-02,2016-11-25,SO61338-2018,215,16888,4,2,3
2018-01-02,2016-09-14,SO61336-2018,482,20075,4,2,3
2018-01-02,2016-09-05,SO61336-2018,474,20075,4,1,3
2018-01-02,2016-09-17,SO61341-2018,485,16463,10,1,4
2018-01-02,2016-09-25,SO61341-2018,229,16952,10,2,6
2018-01-02,2016-09-26,SO61321-2018,466,14606,9,2,5
2018-01-02,2016-11-06,SO61321-2018,235,14606,9,1,5
2018-01-02,2016-11-30,SO61350-2018,214,11506,1,3,2
2018-01-02,2016-12-14,SO61350-2018,528,11619,1,2,5
2018-01-02,2016-10-20,SO61350-2018,537,11393,1,1,6
2018-01-02,2016-09-12,SO61314-2018,483,11660,6,1,4
2018-01-02,2016-09-22,SO61346-2018,477,16456,10,1,7
2018-01-02,2016-12-15,SO61360-2018,528,12282,1,2,3
2018-01-02,2016-09-25,SO61360-2018,220,12644,1,4,2
2018-01-02,2016-12-17,SO61360-2018,235,12282,1,5,4
2018-01-02,2016-09-10,SO61360-2018,358,12644,1,1,3
2018-01-02,2016-10-19,SO61360-2018,537,12523,1,3,4
2018-01-02,2016-10-04,SO61317-2018,485,18050,9,1,7
2018-01-02,2016-10-10,SO61322-2018,480,12743,9,1,4
2018-01-02,2016-11-08,SO61322-2018,483,12990,9,2,6
2018-01-02,2016-10-20,SO61318-2018,485,19417,9,1,5
2018-01-02,2016-09-20,SO61318-2018,215,19047,9,2,6
2018-01-02,2016-10-16,SO61327-2018,223,16312,8,2,7
2018-01-02,2016-09-05,SO61327-2018,214,15998,8,3,3
2018-01-02,2016-11-16,SO61327-2018,358,16155,8,1,3
2018-01-03,2016-11-12,SO61400-2018,528,15094,1,1,6
2018-01-03,2016-10-12,SO61400-2018,215,15094,1,2,3
2018-01-03,2016-11-18,SO61386-2018,480,28990,4,3,3
2018-01-03,2016-12-08,SO61386-2018,530,27886,4,2,6
2018-01-03,2016-09-20,SO61386-2018,541,28438,4,1,3
2018-01-03,2016-12-14,SO61377-2018,223,18563,9,1,6
2018-01-03,2016-10-28,SO61373-2018,478,11456,9,1,3
2018-01-03,2016-10-19,SO61398-2018,528,24303,6,1,6
2018-01-03,2016-11-08,SO61420-2018,223,13516,9,4,7
2018-01-03,2016-09-21,SO61420-2018,485,13516,9,2,4
2018-01-03,2016-10-04,SO61420-2018,362,13254,9,1,5
2018-01-03,2016-09-18,SO61420-2018,487,13254,9,3,2
2018-01-03,2016-12-05,SO61419-2018,387,24974,9,1,6
2018-01-03,2016-10-25,SO61425-2018,214,13311,9,2,6
2018-01-03,2016-10-31,SO61425-2018,579,13442,9,1,5
2018-01-03,2016-09-28,SO61376-2018,484,13750,9,1,7
2018-01-03,2016-09-27,SO61413-2018,477,12415,1,3,6
2018-01-03,2016-10-04,SO61413-2018,478,12176,1,2,5
2018-01-03,2016-12-09,SO61413-2018,362,12415,1,1,4
2018-01-03,2016-12-03,SO61416-2018,477,18044,8,3,7
2018-01-03,2016-11-28,SO61416-2018,479,17528,8,2,3
2018-01-03,2016-10-11,SO61416-2018,214,17356,8,4,4
2018-01-03,2016-12-13,SO61416-2018,573,17356,8,1,2
2018-01-03,2016-11-02,SO61415-2018,485,13422,6,2,3
2018-01-03,2016-09-12,SO61415-2018,223,13422,6,4,2
2018-01-03,2016-10-15,SO61415-2018,232,13166,6,3,6
2018-01-03,2016-10-05,SO61415-2018,356,13038,6,1,6
2018-01-03,2016-11-01,SO61394-2018,464,17796,6,4,8
2018-01-03,2016-11-09,SO61394-2018,478,17287,6,1,6
2018-01-03,2016-10-18,SO61394-2018,215,17118,6,2,6
2018-01-03,2016-10-05,SO61394-2018,229,17118,6,3,4
2018-01-03,2016-09-30,SO61410-2018,484,14795,4,3,6
2018-01-03,2016-09-11,SO61410-2018,485,14795,4,2,3
2018-01-03,2016-09-26,SO61410-2018,362,14795,4,1,4
2018-01-03,2016-12-10,SO61379-2018,529,17258,7,2,4
2018-01-03,2016-12-02,SO61379-2018,220,16601,7,4,5
2018-01-03,2016-11-06,SO61379-2018,377,17258,7,1,6
2018-01-03,2016-09-29,SO61379-2018,540,16765,7,3,5
2018-01-03,2016-11-14,SO61372-2018,484,12382,1,1,4
2018-01-03,2016-11-06,SO61404-2018,485,16478,10,1,7
2018-01-03,2016-10-13,SO61404-2018,232,16641,10,2,2
2018-01-03,2016-10-21,SO61388-2018,535,14836,6,1,6
2018-01-03,2016-10-26,SO61388-2018,480,14979,6,2,2
2018-01-03,2016-11-10,SO61407-2018,529,22023,7,1,4
2018-01-03,2016-12-06,SO61407-2018,480,22023,7,2,6
2018-01-03,2016-10-10,SO61407-2018,483,22023,7,3,3
2018-01-03,2016-11-15,SO61380-2018,480,16565,8,3,6
2018-01-03,2016-12-06,SO61380-2018,362,16087,8,1,3
2018-01-03,2016-10-26,SO61380-2018,537,16405,8,2,5
2018-01-03,2016-09-21,SO61418-2018,529,25569,9,2,7
2018-01-03,2016-11-20,SO61418-2018,539,25569,9,3,5
2018-01-03,2016-12-14,SO61418-2018,215,25815,9,4,6
2018-01-03,2016-11-22,SO61418-2018,385,25815,9,1,4
2018-01-03,2016-11-05,SO61389-2018,540,25698,1,1,4
2018-01-03,2016-09-18,SO61409-2018,528,15913,4,3,4
2018-01-03,2016-10-11,SO61409-2018,481,15762,4,5,5
2018-01-03,2016-09-06,SO61409-2018,485,15610,4,4,6
2018-01-03,2016-10-19,SO61409-2018,360,15762,4,1,6
2018-01-03,2016-10-18,SO61409-2018,537,15307,4,2,3
2018-01-03,2016-10-29,SO61385-2018,480,11713,6,1,5
2018-01-03,2016-12-09,SO61385-2018,484,11713,6,2,6
2018-01-03,2016-10-02,SO61399-2018,528,16099,1,1,6
2018-01-03,2016-10-05,SO61399-2018,215,16577,1,2,5
2018-01-03,2016-10-22,SO61387-2018,530,28819,4,1,8
2018-01-03,2016-11-29,SO61387-2018,223,29384,4,2,5
2018-01-03,2016-10-10,SO61381-2018,362,12876,10,1,5
2018-01-03,2016-11-18,SO61381-2018,537,12876,10,2,4
2018-01-03,2016-09-23,SO61395-2018,477,18407,1,1,6
2018-01-03,2016-12-12,SO61395-2018,484,17876,1,3,6
2018-01-03,2016-12-08,SO61395-2018,487,17876,1,2,6
2018-01-03,2016-11-14,SO61427-2018,606,28888,9,1,3
2018-01-03,2016-12-09,SO61374-2018,215,13177,9,1,5
2018-01-03,2016-09-18,SO61382-2018,477,16482,8,4,7
2018-01-03,2016-10-22,SO61382-2018,478,16325,8,3,5
2018-01-03,2016-10-06,SO61382-2018,485,16168,8,2,6
2018-01-03,2016-12-11,SO61382-2018,362,16011,8,1,5
2018-01-03,2016-09-14,SO61391-2018,530,16827,6,2,6
2018-01-03,2016-11-07,SO61391-2018,541,17322,6,1,5
2018-01-03,2016-11-11,SO61401-2018,223,21155,6,2,3
2018-01-03,2016-11-11,SO61401-2018,485,21363,6,1,3
2018-01-03,2016-10-28,SO61401-2018,226,21570,6,3,3
2018-01-03,2016-10-24,SO61375-2018,215,13413,9,1,6
2018-01-03,2016-09-29,SO61383-2018,485,14574,10,2,5
2018-01-03,2016-12-18,SO61383-2018,356,14574,10,1,2
2018-01-03,2016-11-20,SO61383-2018,487,14862,10,3,5
2018-01-03,2016-12-02,SO61417-2018,387,18444,9,1,3
2018-01-03,2016-10-31,SO61397-2018,477,25753,6,1,7
2018-01-03,2016-09-17,SO61414-2018,220,14738,1,2,6
2018-01-03,2016-10-12,SO61414-2018,354,15027,1,1,5
2018-01-03,2016-11-12,SO61423-2018,529,14102,8,2,6
2018-01-03,2016-11-19,SO61423-2018,538,13966,8,3,6
2018-01-03,2016-10-25,SO61423-2018,220,13966,8,4,3
2018-01-03,2016-09-19,SO61423-2018,606,14237,8,1,6
2018-01-03,2016-10-10,SO61426-2018,477,28050,9,3,5
2018-01-03,2016-11-24,SO61426-2018,479,28875,9,2,6
2018-01-03,2016-10-09,SO61426-2018,214,28875,9,4,5
2018-01-03,2016-10-19,SO61426-2018,606,28875,9,1,5
2018-01-03,2016-10-03,SO61392-2018,535,26954,1,1,5
2018-01-03,2016-12-06,SO61406-2018,528,22168,7,1,4
2018-01-03,2016-11-22,SO61406-2018,536,21953,7,2,6
2018-01-03,2016-09-30,SO61406-2018,215,22599,7,3,4
2018-01-03,2016-11-01,SO61406-2018,488,22599,7,4,3
2018-01-03,2016-10-06,SO61412-2018,223,12683,4,6,7
2018-01-03,2016-11-04,SO61412-2018,477,12683,4,5,5
2018-01-03,2016-11-19,SO61412-2018,478,12442,4,4,4
2018-01-03,2016-09-08,SO61412-2018,485,12563,4,3,3
2018-01-03,2016-10-24,SO61412-2018,362,12200,4,1,6
2018-01-03,2016-11-01,SO61412-2018,488,12442,4,7,5
2018-01-03,2016-10-16,SO61412-2018,537,12321,4,2,5
2018-01-03,2016-11-15,SO61408-2018,529,27992,10,1,3
2018-01-03,2016-09-26,SO61408-2018,487,27992,10,2,5
2018-01-03,2016-10-02,SO61378-2018,223,19184,9,1,4
2018-01-03,2016-11-21,SO61396-2018,477,26342,6,1,5
2018-01-03,2016-11-18,SO61396-2018,220,25582,6,2,2
2018-01-03,2016-10-27,SO61396-2018,235,25835,6,3,2
2018-01-03,2016-12-02,SO61422-2018,530,13376,6,2,7
2018-01-03,2016-10-13,SO61422-2018,220,13506,6,4,6
2018-01-03,2016-10-11,SO61422-2018,541,13116,6,3,4
2018-01-03,2016-12-14,SO61422-2018,563,13246,6,1,6
2018-01-03,2016-09-16,SO61390-2018,541,28557,4,1,3
2018-01-03,2016-10-13,SO61390-2018,220,28282,4,3,5
2018-01-03,2016-10-27,SO61390-2018,530,28557,4,2,5
2018-01-03,2016-09-20,SO61384-2018,529,11530,4,1,4
2018-01-03,2016-11-13,SO61384-2018,232,11641,4,2,5
2018-01-03,2016-12-07,SO61402-2018,466,14682,4,3,4
2018-01-03,2016-12-15,SO61402-2018,485,14682,4,1,5
2018-01-03,2016-09-26,SO61402-2018,220,14967,4,2,2
2018-01-03,2016-12-06,SO61393-2018,529,16729,6,2,4
2018-01-03,2016-11-26,SO61393-2018,214,16890,6,3,6
2018-01-03,2016-12-08,SO61393-2018,540,16246,6,1,5
2018-01-03,2016-10-03,SO61424-2018,220,23355,8,2,4
2018-01-03,2016-10-17,SO61424-2018,606,23355,8,1,6
2018-01-03,2016-10-13,SO61405-2018,484,17791,8,3,6
2018-01-03,2016-12-04,SO61405-2018,528,17791,8,2,6
2018-01-03,2016-12-02,SO61405-2018,535,17113,8,1,6
2018-01-03,2016-11-12,SO61421-2018,223,13417,6,1,6
2018-01-03,2016-10-07,SO61421-2018,576,13417,6,2,6
2018-01-03,2016-11-11,SO61403-2018,528,15092,7,1,5
2018-01-04,2016-09-11,SO61460-2018,528,15751,7,1,6
2018-01-04,2016-10-23,SO61460-2018,535,15597,7,2,4
2018-01-04,2016-09-27,SO61460-2018,473,16060,7,3,6
2018-01-04,2016-11-04,SO61435-2018,223,17940,9,2,5
2018-01-04,2016-12-07,SO61435-2018,488,17595,9,1,4
2018-01-04,2016-10-20,SO61455-2018,466,11440,6,2,6
2018-01-04,2016-11-16,SO61455-2018,474,11440,6,1,6
2018-01-04,2016-09-21,SO61453-2018,477,16040,6,1,6
2018-01-04,2016-10-04,SO61453-2018,478,15728,6,2,4
2018-01-04,2016-10-04,SO61453-2018,215,16040,6,3,6
2018-01-04,2016-12-08,SO61475-2018,220,13634,6,2,2
2018-01-04,2016-11-28,SO61475-2018,562,13500,6,1,5
2018-01-04,2016-09-09,SO61436-2018,477,16497,9,3,4
2018-01-04,2016-11-26,SO61436-2018,479,16657,9,4,3
2018-01-04,2016-11-17,SO61436-2018,530,16497,9,1,5
2018-01-04,2016-12-11,SO61436-2018,541,16817,9,2,6
2018-01-04,2016-10-19,SO61469-2018,560,17246,7,1,5
2018-01-04,2016-11-09,SO61471-2018,462,18440,9,4,3
2018-01-04,2016-11-28,SO61471-2018,529,17908,9,3,3
2018-01-04,2016-10-11,SO61471-2018,389,18440,9,1,3
2018-01-04,2016-10-16,SO61471-2018,539,18440,9,2,5
2018-01-04,2016-09-10,SO61432-2018,536,16878,9,1,5
2018-01-04,2016-10-08,SO61432-2018,480,17379,9,3,7
2018-01-04,2016-10-26,SO61432-2018,528,17212,9,2,7
2018-01-04,2016-12-13,SO61446-2018,462,16672,6,3,4
2018-01-04,2016-12-02,SO61446-2018,529,16672,6,2,3
2018-01-04,2016-11-26,SO61446-2018,540,17332,6,1,3
2018-01-04,2016-10-22,SO61444-2018,480,11348,9,3,5
2018-01-04,2016-09-14,SO61444-2018,528,11348,9,2,3
2018-01-04,2016-10-10,SO61444-2018,535,11682,9,1,7
2018-01-04,2016-09-22,SO61452-2018,480,13407,6,2,4
2018-01-04,2016-11-05,SO61452-2018,536,13670,6,1,7
2018-01-04,2016-12-15,SO61458-2018,480,26164,6,2,6
2018-01-04,2016-09-17,SO61458-2018,528,25912,6,1,5
2018-01-04,2016-11-04,SO61464-2018,485,13626,1,1,7
2018-01-04,2016-10-20,SO61466-2018,480,14609,4,3,7
2018-01-04,2016-11-07,SO61466-2018,354,15188,4,1,3
2018-01-04,2016-10-04,SO61466-2018,537,14898,4,2,3
2018-01-04,2016-10-08,SO61478-2018,481,20802,1,3,7
2018-01-04,2016-12-09,SO61478-2018,529,21414,1,2,5
2018-01-04,2016-10-03,SO61478-2018,539,21006,1,4,4
2018-01-04,2016-10-03,SO61478-2018,385,21006,1,1,5
2018-01-04,2016-12-09,SO61445-2018,480,18498,6,2,4
2018-01-04,2016-12-18,SO61445-2018,538,19230,6,1,5
2018-01-04,2016-10-24,SO61442-2018,362,15857,7,1,5
2018-01-04,2016-10-24,SO61442-2018,537,16171,7,2,4
2018-01-04,2016-09-13,SO61454-2018,477,14551,6,1,4
2018-01-04,2016-09-22,SO61454-2018,478,14979,6,2,5
2018-01-04,2016-09-20,SO61454-2018,487,14408,6,3,3
